 2,0000000257,0000000000,11: 7, 4/ 1/16
 2,0000000103,0000000000,17:11, 4/ 1/16
 2,0000000406,0000000000,17:12, 4/ 1/16
 2,0000000499,0000000000,17:12, 4/ 1/16
 2,0000000218,0000000000,17:13, 4/ 1/16
 2,0000000008,0000000000,17:14, 4/ 1/16
 2,0000000039,0000000000,17:14, 4/ 1/16
 2,0000000171,0000000000,17:15, 4/ 1/16
 1,0000000245,0000000070,17:53, 4/ 1/16
 1,0000000132,0000000070,17:56, 4/ 1/16
 1,0000000132,0000000070,17:56, 4/ 1/16
 2,0000000059,0000000000,18: 6, 4/ 1/16
 2,0000000239,0000000000,18: 8, 4/ 1/16
 2,0000002531,0000000000,18: 9, 4/ 1/16
 2,0000000317,0000000000,18:10, 4/ 1/16
 2,0000000326,0000000000, 0: 2, 4/ 2/16
 1,0000000090,0000000071, 5:28, 4/ 2/16
 1,0000000039,0000000045, 5:28, 4/ 2/16
 1,0000000216,0000000028, 5:29, 4/ 2/16
 1,0000000024,0000000041, 5:29, 4/ 2/16
 1,0000000317,0000000058, 5:29, 4/ 2/16
 1,0000000265,0000000041, 5:29, 4/ 2/16
 1,0000000362,0000000040, 5:30, 4/ 2/16
 1,0000000034,0000000031, 5:30, 4/ 2/16
 1,0000000340,0000000040, 5:30, 4/ 2/16
 1,0000000082,0000000040, 5:30, 4/ 2/16
 1,0000000118,0000000022, 5:30, 4/ 2/16
 1,0000002515,0000000001, 5:31, 4/ 2/16
 1,0000000491,0000000004, 5:31, 4/ 2/16
 1,0000000439,0000000009, 5:31, 4/ 2/16
 1,0000000433,0000000007, 5:31, 4/ 2/16
 1,0000000189,0000000031, 5:31, 4/ 2/16
 1,0000002521,0000000040, 5:31, 4/ 2/16
 1,0000000044,0000000031, 5:31, 4/ 2/16
 1,0000000357,0000000009, 5:31, 4/ 2/16
 1,0000000355,0000000000, 5:32, 4/ 2/16
 1,0000000091,0000000027, 5:32, 4/ 2/16
 1,0000000050,0000000006, 5:32, 4/ 2/16
 1,0000000287,0000000041, 5:32, 4/ 2/16
 1,0000000269,0000000031, 5:32, 4/ 2/16
 1,0000000351,0000000030, 5:33, 4/ 2/16
 1,0000000246,0000000040, 5:33, 4/ 2/16
 1,0000000069,0000000007, 5:33, 4/ 2/16
 1,0000000147,0000000021, 5:33, 4/ 2/16
 1,0000000454,0000000031, 5:33, 4/ 2/16
 1,0000000115,0000000006, 5:33, 4/ 2/16
 1,0000000008,0000000045, 5:33, 4/ 2/16
 1,0000000466,0000000009, 5:34, 4/ 2/16
 1,0000000359,0000000058, 5:34, 4/ 2/16
 1,0000000042,0000000031, 5:34, 4/ 2/16
 1,0000000175,0000000040, 5:34, 4/ 2/16
 1,0000000281,0000000009, 5:34, 4/ 2/16
 1,0000000193,0000000052, 5:34, 4/ 2/16
 1,0000000119,0000000027, 5:35, 4/ 2/16
 2,0000000078,0000000000, 5:35, 4/ 2/16
 1,0000000429,0000000029, 5:35, 4/ 2/16
 1,0000000310,0000000080, 5:35, 4/ 2/16
 1,0000000399,0000000070, 5:35, 4/ 2/16
 1,0000000020,0000000058, 5:35, 4/ 2/16
 1,0000000369,0000000058, 5:35, 4/ 2/16
 1,0000000365,0000000040, 5:36, 4/ 2/16
 1,0000000430,0000000040, 5:36, 4/ 2/16
 1,0000000348,0000000040, 5:36, 4/ 2/16
 1,0000000440,0000000031, 5:36, 4/ 2/16
 1,0000000446,0000000031, 5:36, 4/ 2/16
 1,0000000076,0000000031, 5:37, 4/ 2/16
 1,0000000037,0000000018, 5:37, 4/ 2/16
 1,0000000324,0000000040, 5:37, 4/ 2/16
 1,0000000094,0000000000, 5:37, 4/ 2/16
 1,0000000062,0000000040, 5:37, 4/ 2/16
 1,0000000105,0000000031, 5:37, 4/ 2/16
 1,0000000299,0000000040, 5:37, 4/ 2/16
 1,0000000036,0000000023, 5:38, 4/ 2/16
 1,0000000261,0000000040, 5:38, 4/ 2/16
 1,0000000153,0000000004, 5:38, 4/ 2/16
 1,0000000283,0000000003, 5:38, 4/ 2/16
 1,0000000182,0000000058, 5:38, 4/ 2/16
 1,0000000352,0000000031, 5:38, 4/ 2/16
 1,0000000345,0000000031, 5:38, 4/ 2/16
 1,0000000166,0000000009, 5:38, 4/ 2/16
 1,0000000051,0000000007, 5:39, 4/ 2/16
 1,0000000478,0000000029, 5:39, 4/ 2/16
 1,0000000219,0000000000, 5:39, 4/ 2/16
 1,0000000390,0000000000, 5:39, 4/ 2/16
 1,0000000459,0000000029, 5:39, 4/ 2/16
 1,0000000444,0000000029, 5:39, 4/ 2/16
 1,0000000260,0000000007, 5:39, 4/ 2/16
 1,0000000156,0000000058, 5:40, 4/ 2/16
 1,0000000098,0000000050, 5:40, 4/ 2/16
 1,0000000163,0000000031, 5:40, 4/ 2/16
 1,0000000226,0000000031, 5:40, 4/ 2/16
 1,0000000183,0000000040, 5:40, 4/ 2/16
 1,0000000142,0000000003, 5:40, 4/ 2/16
 1,0000000455,0000000027, 5:41, 4/ 2/16
 1,0000000100,0000000004, 5:41, 4/ 2/16
 1,0000000103,0000000005, 5:41, 4/ 2/16
 1,0000000263,0000000171, 5:41, 4/ 2/16
 1,0000000377,0000000031, 5:41, 4/ 2/16
 3,0000000306,0000000000, 5:42, 4/ 2/16
 1,0000000238,0000000000, 5:42, 4/ 2/16
 1,0000000007,0000000022, 5:42, 4/ 2/16
 1,0000000367,0000000007, 5:42, 4/ 2/16
 1,0000000061,0000000031, 5:42, 4/ 2/16
 1,0000000463,0000000058, 5:42, 4/ 2/16
 1,0000000121,0000000000, 5:43, 4/ 2/16
 1,0000000498,0000000058, 5:43, 4/ 2/16
 1,0000000120,0000000058, 5:43, 4/ 2/16
 1,0000000033,0000000031, 5:43, 4/ 2/16
 1,0000000342,0000000040, 5:43, 4/ 2/16
 1,0000000353,0000000031, 5:43, 4/ 2/16
 1,0000000200,0000000007, 5:43, 4/ 2/16
 1,0000000023,0000000040, 5:44, 4/ 2/16
 1,0000002509,0000000058, 5:44, 4/ 2/16
 1,0000000025,0000000041, 5:44, 4/ 2/16
 1,0000000394,0000000058, 5:44, 4/ 2/16
 1,0000000075,0000000058, 5:44, 4/ 2/16
 1,0000000136,0000000004, 5:44, 4/ 2/16
 1,0000000309,0000000058, 5:45, 4/ 2/16
 1,0000000387,0000000040, 5:45, 4/ 2/16
 1,0000000088,0000000000, 5:45, 4/ 2/16
 1,0000000127,0000000022, 5:45, 4/ 2/16
 1,0000000123,0000000031, 5:45, 4/ 2/16
 1,0000000167,0000000040, 5:45, 4/ 2/16
 1,0000000021,0000000029, 5:46, 4/ 2/16
 1,0000000190,0000000009, 5:46, 4/ 2/16
 1,0000000415,0000000031, 5:46, 4/ 2/16
 1,0000000586,0000000009, 5:46, 4/ 2/16
 1,0000000320,0000000029, 5:46, 4/ 2/16
 1,0000000074,0000000031, 5:46, 4/ 2/16
 1,0000000016,0000000000, 5:46, 4/ 2/16
 1,0000000184,0000000031, 5:47, 4/ 2/16
 1,0000000294,0000000031, 5:47, 4/ 2/16
 1,0000000313,0000000052, 5:47, 4/ 2/16
 1,0000000019,0000000029, 5:47, 4/ 2/16
 1,0000000215,0000000009, 5:47, 4/ 2/16
 1,0000000338,0000000031, 5:47, 4/ 2/16
 1,0000000436,0000000029, 5:47, 4/ 2/16
 1,0000000412,0000000031, 5:48, 4/ 2/16
 1,0000000297,0000000009, 5:48, 4/ 2/16
 1,0000000243,0000000040, 5:48, 4/ 2/16
 1,0000000107,0000000058, 5:48, 4/ 2/16
 1,0000000101,0000000027, 5:48, 4/ 2/16
 1,0000000417,0000000058, 5:48, 4/ 2/16
 1,0000000014,0000000040, 5:48, 4/ 2/16
 1,0000000255,0000000029, 5:49, 4/ 2/16
 1,0000000368,0000000000, 5:49, 4/ 2/16
 1,0000000314,0000000004, 5:49, 4/ 2/16
 1,0000000453,0000000058, 5:49, 4/ 2/16
 1,0000000179,0000000029, 5:49, 4/ 2/16
 1,0000000030,0000000040, 5:50, 4/ 2/16
 1,0000000196,0000000009, 5:50, 4/ 2/16
 1,0000000176,0000000058, 5:50, 4/ 2/16
 1,0000000295,0000000058, 5:51, 4/ 2/16
 1,0000000257,0000000029, 5:51, 4/ 2/16
 1,0000000425,0000000031, 5:51, 4/ 2/16
 1,0000000072,0000000022, 5:51, 4/ 2/16
 1,0000000428,0000000021, 5:51, 4/ 2/16
 1,0000000109,0000000009, 5:51, 4/ 2/16
 1,0000000288,0000000031, 5:52, 4/ 2/16
 1,0000000124,0000000004, 5:52, 4/ 2/16
 1,0000000146,0000000031, 5:52, 4/ 2/16
 1,0000000122,0000000071, 5:52, 4/ 2/16
 1,0000000371,0000000040, 5:52, 4/ 2/16
 1,0000000017,0000000022, 5:52, 4/ 2/16
 1,0000000328,0000000031, 5:53, 4/ 2/16
 1,0000000481,0000000003, 5:53, 4/ 2/16
 1,0000000068,0000000004, 5:53, 4/ 2/16
 1,0000000134,0000000058, 5:53, 4/ 2/16
 1,0000000405,0000000042, 5:53, 4/ 2/16
 1,0000000052,0000000002, 5:54, 4/ 2/16
 1,0000000139,0000000027, 5:54, 4/ 2/16
 1,0000000248,0000000004, 5:54, 4/ 2/16
 1,0000000236,0000000058, 5:54, 4/ 2/16
 1,0000002506,0000000058, 5:55, 4/ 2/16
 1,0000000234,0000000004, 5:55, 4/ 2/16
 1,0000000059,0000000058, 5:55, 4/ 2/16
 1,0000000252,0000000004, 5:55, 4/ 2/16
 1,0000000232,0000000004, 5:56, 4/ 2/16
 1,0000000049,0000000071, 5:56, 4/ 2/16
 1,0000000304,0000000004, 5:56, 4/ 2/16
 1,0000000451,0000000004, 5:56, 4/ 2/16
 1,0000000114,0000000058, 5:59, 4/ 2/16
 2,0000000132,0000000000, 6: 1, 4/ 2/16
 1,0000000181,0000000000, 6:47, 4/ 2/16
